CNPJ;Razao_Social;REG_ANS;Trimestre;Ano;ValorDespesas
1476619000130.0;UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO;301124;3;2025;2650224426506991,642297979,182297979,1810313,88406327,98473454,48484021,85259272,84224749,011711214,644426459,564276777,54149682,0242142,4542142,45938233,951628885,241628885,241544525,6618105,312513713,621836640,913657823,06321654,8125458,412585027,35785415,7332800,393602732,26679087,41679087,41931,8316454,6918390,9246673,67958,9655123,7397885,43172389,612206,371512,54100244,3852934,6702,24278387,459087089,839087089,83768,9692,4143195,791129612,87307013,352972611,75562758,7120379,284698242,2113850388,0813850388,08627055,371446375,466757214,545276296,281134926,58764493,99276468,57276468,57276468,571398453,51325342,76325342,7680577,43143571,73103756,3267104,38267104,3899640,2427502,61134694,5370,8910927,73-4747,64-4747,64-4747,64-4747,6410463,4279719,61-69256,19-14925,6430133,85-45059,49-285,422631,23-2916,65
50480953000172.0;UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO;301574;1;2025;52519092,2252597105,9119285194,0419285194,04372409,149566930,0410847,081186146,84138926,2712425048,6649418,2215348,0315743162,6814258,6714258,67226,134128,09823,2613081,23452294,92452294,9232858,31202056,1626592,96193693,734620,229349824,5129349824,51626406,5812267903,7725666,112241309,6446674,4214900956,2229821,0212770,05-59,273357368,243357368,2451370,381312342,1472439,832630,092253701,0273015,7673015,767746,7517897,752975,8549752,2365149,7765149,7737787,8237787,79-78013,69-78013,69-78013,69-78013,69-78013,69-126106,3548092,66640522,46640522,462717300,852717300,852085083,342101019,87628872,52628872,523344,993344,99140604,410140604,418905153,92985464,48766499,92218964,561761567,94
50480953000172.0;UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO;301574;2;2025;149223,72149223,729130261,74980439,16785864,61194574,551656450,932641468,232641468,232059800,662091414,76579611,07579611,072056,52056,525806230,5691783,0827452,5830846647,7231897,3931897,39393,3511692,91134,325733,06828951,12828951,1265005,88387237,2531164,13348805,54620,262920903,8662920903,861479956,627410222,2525770,534485273,8290988,0730832118,9543462,2824898,34-1053,187861147,887861147,8870684,233445156,33156087,942211,014836121,811223,13198843,94198843,9415129100605,43660,686696,93100810,62100810,6267964,8767964,82-83039,01-83039,01-83039,01-83039,01-83039,01-106741,6623702,65152889,571117223,0276795,676795,6113227731,13113310770,1441368215,3341368215,33780000,1719784994,5911942,162391632,85280993,95
50480953000172.0;UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO;301574;3;2025;162238,630162238,639894690,161290934,351172903,98118030,371670281,91180542958,56180315502,3864133886,4764133886,471256179,6729908569,9214232,753571600,81400660,1639728430,64141911,8142085,5745455590,3349498,2849498,28738,7718999,992312,7837122,941211918,151211918,1587924,77566376,1834941,4525937,444620,2100673451,15100673451,152369640,5144097058,6326388,466846892,16137730,4449095436,4855697,5839376,92-2032,7513748716,3313748716,33222192,0878349,4278349,424943703,58312965,033859,219218531,861692,32286423,01286423,0122689123553,625814,6145030,03211608,99211608,99116856,62116856,53227456,18227456,18227456,18227456,18227456,18280297,71-52841,53-2497977,31191998,332392132,92392132,91731110,521762644,87658973,22658973,222049,162049,16
20168589000149.0;PRONTOMED PLANOS DE SAÚDE LTDA;301728;1;2025;8211,928211,929388,093961430,59744885,813216544,7808859967,237344078,961515888,270348747,11348747,1113746674,513491672,4510131164,479908344,184275,9632559,341687831,1512426170,81222820,298466,98242643,57350777,59350777,59194,752028,9852906,38551250,292800349,552800349,556409,446853,46393514,032685601,37209380,84209380,84209380,84255002,05255002,05255002,05255002,05255002,05207372,9547629,11597432,451589220,531589220,531732462,85
20168589000149.0;PRONTOMED PLANOS DE SAÚDE LTDA;301728;2;2025;1768465,631758981,771758981,775461145,695460997,16465,4423466,01774890,255250609,75148,59148,59623230,84623230,84623230,84450941,64450941,64450941,64450941,64450941,64408974,1841967,46348747,11348747,1128734422,1728283480,5321480903,7120963736,4419165,6450121,183347220,6226418777,64517167,2722791,03552655,55718200,29718200,29194,754307,61108179,691145432,719055906,827545680,191510226,63010400,784295355,45768519,093526836,362242,529483,869483,861798156,53
20168589000149.0;PRONTOMED PLANOS DE SAÚDE LTDA;301728;3;2025;1656048,681649141,861649141,866906,826906,824859003,31012427,213846576,090045069910,9444577720,5233612795,1332859400,8621879,5977083,914526161,0441959730,54753394,2731586,27802947,6999793,89999592,25194,756614,4141898,11609872,89201,64201,648778252,818777887,286991,311724305,177823,749097155,67835839,061261316,54348747,11348747,1139633,871078995,518558187,89365,53365,531186878,691186878,691186878,69492190,42492190,42492190,42492190,42492190,42699133,05-206942,63
1356020000162.0;UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;301744;1;2025;35552,5235552,5216823670,5617465514,074912716,284912716,2854599,86603434,67171483,962678062,4311116,63316785,2177715,271653529,7914560287102,21200027814,18836389,16333179,062259384,35134651,912099722,48122375,3674145,87103809,57103809,571411,36705,814121,49457,3931943,89952,1750691,31688,6510782,5329117,2980591,747053045,237053045,23246312,171391435,11165190,045393318,08373346,455800653,325178673,515178673,5147664,82765298,07176614,512527131,2717047,83376186,17127810,11484984,491453,2273745,414244,11564630,36713357,78458968,75202008,5496748,8696748,8617251,38306,9589130,5611110120520,62120520,62120520,62-641843,51-641843,51-641843,51-641843,51-641843,51-664939,2523095,74140988,721583614,511583614,51763063,83869727,99820550,68820550,68666644,210666644,212605734,024479839,394051498,55428340,842087289,92
1356020000162.0;UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;301744;2;2025;32155153,8233501334,579705332,139705332,1398502,781206724,9354693,215421631,0826909,17816164,95174636,283311227,0618275530706,061200058055,651472549,51-38,43609466,584754006,0617,02307164,534583940,49181293,731377848,27208705,64208705,641103090,291938,626941,56457,3939981,152302,92124147,591924,32052,4321741,7834287,54161182,09721352,763411,52717941,242211568,713775502,153288398,62487103,531872390,830779,5230779,5213085851,9813085851,98346242,482491112,72057985,3110502086,06655978,4111264809,7510028256,4410028256,4471471,531295939,4415711,495038101,8928210,79671642,33316449,192986597,351585,36320165,5621639,311216820,361544349,271059686,4777,21532216,05194653,01194653,0142790,9116146,94172535,625421,6278535,37278535,37451289,57-1346180,75-1346180,75-1346180,75-1346180,75-1346180,75-1428039,1881858,43220485,351814011,11814011,1812601,1935529,310014101001410
1356020000162.0;UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;301744;3;2025;2015408,622015408,62940806,311070224,871074602,311074602,31779070,420779070,422552484,94212534,013445670,23766863,782155754,156510,316510,3149086995,3249996144,2115178964,3515178964,35118147,432040102,62529622,688152121,6962761,651384618,44270982,165328865,8718904,2930901,9112000101835,712046870,54-360,26230,95910790,137366206,5117,02500588,867108960,8227525,752476170,01315325,55315325,551105724,222818,643640,31582,9554245,045235,66195444,43848,63301,0132923,0135774,21216559,6317750770,5417750770,54429686,794146712,192594131,6614932054,9882984,117653071,9416016430,1216016430,12103299,071936979,7536147,848325973,0738556,981033744,25571838,24770524,333465,82389512,77122449,541745747,722395702,81742762,3777,21867794,16288457,01288457,0162042,7248023441,94254965,9636929,1446196,64446196,64800008,32-909148,89-909148,89-909148,89-909148,89-909148,89-1270767,57361618,68250339,8
58119199000151.0;ODONTOPREV S/A;301949;1;2025;1137184,631137184,631137184,631378843,490062656747,5968988256689882563718307,74164878813,67170279874,46167220455,98167220455,9818912987,498484896,293482797,4151979247,725043920,781459,784867465,679957565,57-3619825,71-3619825,716679244,196679244,191224997,8327261,81418670,277400437,46104412378387,2-5401060,79-5401060,79-5401060,79-5401060,79-5401060,79-5401060,795971811,82
58119199000151.0;ODONTOPREV S/A;301949;2;2025;11053425,77344095054,38348455896,31353807893,87353807893,8740123483,3918015140,967467801,2322099153,7310184878,39827,0110482777,2221080554,27-7987382,33-7987382,332635384,772635384,772291429,48644156,59838550,6414174017,9422144762321,85-4360841,93-4360841,93-4360841,93-4360841,93-4360841,93-4360841,9358207613,4570028474,8670028474,862000553,842113093,072113093,072113093,072208725,7700
58119199000151.0;ODONTOPREV S/A;301949;3;2025;1086393,361086393,361086393,361181515,970057863757,8573039068,3173039068,312068193,25549197675,81550547924,29537994980,41537994980,4161496579,7627967118,2511545889,7499987569,1216094052,3016248721,8532045043,680012552943,8812552943,883575214,1767159,361385956,7521604433,0207174556,73-1350248,48-1350248,48-1350248,48-1350248,48-1350248,48-1350248,4816387403
461479000163.0;PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;302147;1;2025;1414729129,271416115825,95397396568,01397396568,011402743,38380949821,813746,9816568435,8624840,161013184604,071013184604,0710167254,6961029932,3680539,0341550352,9356525,1852892,5252892,52052892,525481761,355481761,3546285,266784081,495935,68166121,59-1386696,68-1386696,68-1386696,68-1386696,68-1386696,68-1853278,65466581,9712989,4312989,430000024162090,24810850,8112903098,6110448140,82198541753,0855925072,7942563835,9613361236,8321586541,3121586541,31
461479000163.0;PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;302147;2;2025;2914273233,252919851427,47820381541,45820381541,453086381,678215314734897,7437452471,9833906,282089145162,492089145162,4920860798,571982273521,13151221,3585457560,16402061,28137984,37137984,37137984,3710186739,1610186739,1689926,4412663524,6917940,46401623,85-5578194,22-5578194,22-5578194,22-5578194,22-5578194,22-6275893,04697698,8228280,4228280,4210066764,53217248723,8451733575,2538141221,5713592353,6818937941,2718937941,270000027767622,45115307,1912585550,68
461479000163.0;PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;302147;3;2025;23755366,84013888490,739866876,11319806196,952777014,734693564,2118083450,4923537929,2923537929,2918300613,4522318,56723103,79-4534754,77-4534754,77-4534754,77-4534754,77-4534754,77-9723550,45188795,6344798,2144798,21000004430731709,414435266464,181956555172,681956555172,6811785305,591861396208,21127480,187095839,04153043,392463578142,362463578142,3624429242,492337472541,74174098,55101085821,49416438,09238468,31238468,31238468,3114894680,8314894680,83147940,56
747041000146.0;UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO;302228;1;2025;30899,3362524,2258850,31103673,89904657,313033479,832731675,06301804,7799524,0899524,0830899,330899,36285381,926221285,251283143,341283143,3419123,44157741,3754507,382780,34312739,78402111,65665847,721268,08318648,0117761,984880609,574880609,5738099,161617533,263040322,38181404,413250,3666786678667850854,3450854,3450854,3464096,6764096,6764096,6764096,6764096,6783819,47-19722,8
747041000146.0;UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO;302228;2;2025;13219512,73070,54637572,3438529,0510348539,7710348539,7759672,273416449,216487053,91377997,97366,4822087,8422087,8422087,84102105,46102105,46102105,46121607,11121607,11121607,11121607,11121607,11153123,59-31516,4899524,0899524,0830899,330899,313574824,4513453217,342980484,272980484,2740556,75354653,77179,591763205,024205,07672234,37912439,4630899,3362524,2258850,31103673,891032680,893090990,272800979,18290011,09
747041000146.0;UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO;302228;3;2025;30899,3362563,5268287,9694275,541094057,453180431,592866012,27314419,3221291572,4721080524,044704086,14704086,167394,57544802,7452,742839994,3220300,291034862,751419044,0119838077,33653,96974916,4766252,116186377,6416186377,6469986,575051936,110356630,86588600,04119224,0739309,9239309,9239309,92150750,38150750,38150750,38211048,43211048,43211048,43211048,43211048,43218156,68-7108,25104009,57104009,5730899,330899,3
35617257000171.0;CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO;302627;1;2025;176320,53175459,7175459,7175459,7860,83860,83860,834604420,513764379,083764379,089249631,69166449,728166513,97339548,134959010,662927631,4826965,77829252,45542678,73542678,73352661,45212502,64186928,98186928,9878278,2108650,78270328,11265500,61101492,25385050,464827,54717,519083181,8883181,8883181,8883181,8883181,8883181,88-35740,22
35617257000171.0;CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO;302627;2;2025;2119064621019481,1618773764,0817125788,9611652851,926692076,861647975,121653958,841218644,341218644,34850954,46415797,59392075,52392075,52121016,34271059,18634997,22629304,72282025,95736085,955692,55493,51090171164,84171164,84171164,84171164,84171164,84171164,84-35740,22187202,412339,962339,962339,966482951,183852362,043852362,040189542,37187202,41187202,41
35617257000171.0;CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO;302627;3;2025;32103820,2431845853,4928283265,4325825360,4916765393,9110989294,882457904,942469755,651842277,891842277,891243596,54694938,82828899,99828899,99314230,75514669,24891410,18880327,68403848,211053698,5611082,512137,493235257966,75257966,75257966,75257966,75257966,75257966,75-35740,22114105,39112065,26112065,26112065,262040,132040,132040,135488038,773939163,953939163,950
35830868000101.0;UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE;302953;1;2025;98326890,2797260472,0436582920,8736582920,87509456,84499081,3817508,61490232,379838,317973280,66174001143387,92387462,2628367,924247855,61196204,922138776,5237793742,2927425266,7127425266,711613601,812730744,9964247,893984354,8520779,0119217089,417295885,0521100867,1621100867,16772564,38719000,878233,411210634319,9721279876,62610796,9610796,91551214929,648433,712129,37529792,22203371,29203371,29243,279752,4611497,86567573,9811337249,1111337249,11641047,521803258,5613143,21653413,841750,127224635,871066418,231066418,231066418,231066418,23614346,27650178,82-35832,55452071,96475341,06-23269,100105672,2881519,7270138,8550741,1500000982922,96982922,96982922,962152768,58289800909989,53105104,2621347,18783538,0917930883,2212786398,512213514,73572883,7712735894,41858982,37671166,451187815,92289800289800
35830868000101.0;UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE;302953;2;2025;214844524,81210711289,3576188088,5776188088,571152246,36000001031502,63154721,0713341,92863439,6422382734,515853215,7315219881,75633333,9811296956,221865789,64677973,721187815,922938802938801027658,5640063,563243751,0623843,2216799557,61214802487731,864671318,0746996,58614615,25376942,1446212845,276720077703552,1457288333,0457288333,043942351,634806009,0970206,67846326,5623450,1440976575,1835008678,0851067389,8451067389,841683611,761801499,9137766,493225303,799510,7650231634,991111255,871111255,8733976,5432934,99120574,065378,08914098,144294,06494007,48494007,48243,2719227,8727170,34730886,5824562214,5524562214,5501367626,253974914,859177,23994250,532608,1215163637,654133235,464133235,464133235,464133235,461845191,261844125,611065,652288044,22287761,29282,9100261469,66296589,96171156,02177371,731115476,481115476,481115476,482328956,22293880
35830868000101.0;UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE;302953;3;2025;1123643,24124360,455336,66993946,1320216767,3719233886,6418552271,94681614,713370831,121873415,54685599,621187815,922938802938800000000334155,49374475,28219334,16228365,37336581569,06329067662,69122800422,97122800422,971719521,461646240,9677692,465069988,424073827042033,13214803984005,627248355,0972036,9814037016,18545798,6275599680,16211450,24119782621,4486665556,0686665556,065611211,256837993,99206764,6911025712,7430950,8463515484,8754653308,6882797543,3382797543,331672977,652724753,0518018,855063123,4414177,8282722054,852051963,272051963,2751782,5458405,99554014,445378,081377404,164978,06864922,34864922,341979,0258027,836298,191071967,9733887254,7233887254,721844015,145486870,4370147,25872836,62102280,3420511104,997513906,377513906,377513906,377513906,373900989,553872667,528322,053612916,823591609,5921307,231371550,031371550,031371550,032586721,29293880
7649106000160.0;UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA;303178;1;2025;00051465,94450902,170240500,63210401,544274606,412846600,992586810,67259790,32209277,56209277,5616312706,4516397571,647448709,197448709,19291144,53765138,037385,21210806,623747795,592390195,31109464,06109464,06920,8646361,0216191,5446408,021942196,781942196,781942196,786738948,136738948,1335853,413844995,6612,61044624,151812862,37158253,48158253,48297725,8-84865,19-84865,19-84865,19-84865,19-84865,19-120889,3936024,200000
7649106000160.0;UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA;303178;2;2025;13458021,35177913,137650721,885755,891729720,673893909,78381097,63381097,63709456,6710837,5510837,5510837,5510837,5510837,55-61468,5372306,08000002942303,732646231,53296072,2159990,62159990,6233736120,533725282,9515533408,2415533408,24631557,677978079,6230378,262066989,787432942,185105167,84269373,23269373,232495,93106126,9975,7439998,75121093,24083382,54083382,54083382,513458021,3500051465,94595188,6128362,47212574,12254252,015075740,8
7649106000160.0;UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA;303178;3;2025;53283704,8452763890,9625400932,1725400932,17996150,7213364616,8936222,253178127,8311544519,277713605,73423476,7423476,72659,58182607,4575,7455091,71183476,496679859,826679859,826679859,8219746561,3119746561,31206817,5511422442,2810099,692578017,765529184,03513060,96513060,961197104,65519813,88519813,88519813,88519813,88519813,88386292,05133521,83547538,93167798,92218175,24161564,773985835,563451280,063093992,11357287,95192840,8192840,800051465,9400000
56727134000163.0;UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO;303267;1;2025;000001093090,41093090,41093090,41117233,86966280,07297088,8498775,96570415,2721888685,715230484,5714719773,67510710,92657962,05362179,12362179,12103538271,68103196457,4139447059,4239447059,421015838,673240468,88479,521870020,23119265,579877032,92751264,022795494,38505,51498712,2376208,757185201,65136756,333034903,75666727,4118003,167099419,529419,2128461,866617207,4914203,962492,526355990,336355990,332033,21150164072,7313532584,33284341,32798370,26427760,9937842,921953639,87122793,73542399,9312967,5369817,451852851,7743372683,2943372683,293447153,6610761149,57162,434434070,7515232,1624681277,0822718,4613811211,513811211,5198360,91501258,79637595,7326319,2412342912,32209512,87209512,8711795,341803,378,5823413,951198,51131293,16341814,27341814,27341814,27341814,27341814,27350079,91-8265,64
